clubs	points
FC Barcelona	3520
Real Madrid CF	3432
FC Bayern München	2695
Manchester United	2429
Arsenal FC	2386
Chelsea FC	2312
Juventus FC	1970
Atletico de Madrid	1943
FC Porto	1939
SL Benfica	1891
Sevilla CF	1859
Liverpool FC	1686
FC Internazionale	1573
Valencia CF	1500
Paris Saint Germain	1499
Manchester City	1477
BV Borussia Dortmund	1392
Milan AC	1359
FC Shakhtar Donetsk	1259
AS Roma	1225
Olympique Lyonnais	1210
Tottenham Hotspur FC	1196
FC Schalke 04	1142
FC Zenit St.Petersburg	1136
Villarreal CF	1125
TSV Bayer 04 Leverkusen	1120
PSV Eindhoven	1112
SSC Napoli	1108
Dynamo Kiev	1082
Sporting Club Portugal	1063
Ajax Amsterdam	989
Fiorentina AC	929
Athletic Club Bilbao	892
CSKA Moskva	877
SS Lazio	861
FC Basel	826
Sporting Braga	821
Celtic FC Glasgow	753
Olympique de Marseille	721
Olympiakos Pireus FC	719
Fenerbahce SK	682
VfL Wolfsburg	677
AZ Alkmaar	667
Galatasaray SK	647
AS Monaco	632
RSC Anderlecht	625
Everton FC	558
Borussia Mönchengladbach	548
FC Dnipro	544
Besiktas JK	530

