FC Barcelona	1213
Real Madrid CF	1079
FC Bayern MĂĽnchen	894
Manchester United	989
Arsenal FC	822
Chelsea FC	1045
Juventus FC	882
Atletico de Madrid	902
FC Porto	1171
SL Benfica	1033
Sevilla CF	934
Liverpool FC	1180
FC Internazionale	1009
Valencia CF	909
Paris Saint Germain	1052
Manchester City	1118
BV Borussia Dortmund	1104
Milan AC	1069
FC Shakhtar Donetsk	1201
AS Roma	754
Olympique Lyonnais	1372
Tottenham Hotspur FC	1038
FC Schalke 04	935
FC Zenit St.Petersburg	1220
Villarreal CF	1182
TSV Bayer 04 Leverkusen	1353
PSV Eindhoven	1034
SSC Napoli	1018
Dynamo Kiev	1017
Sporting Club Portugal	1021
Ajax Amsterdam	758
Fiorentina AC	964
Athletic Club Bilbao	1092
CSKA Moskva	1137
SS Lazio	864
FC Basel	1077
Sporting Braga	913
Celtic FC Glasgow	1228
Olympique de Marseille	647
Olympiakos Pireus FC	1032
Fenerbahce SK	1179
VfL Wolfsburg	1007
AZ Alkmaar	982
Galatasaray SK	671
AS Monaco	1137
RSC Anderlecht	994
Everton FC	1175
Borussia MĂ¶nchengladbach	1095
